UzeRom parser: Succesfully loaded program from mode13demo.uze:
	Name .......: Video Mode 13 Demo
	Author .....: Alec Bourque (Uze)
	Year .......: 2015
	Description : A simple demo that demonstrates mode 13
Starting emulator
0000: Op: 2C => 2C, Flags: 00 => 00
0001: Op: 0B => 0B, Flags: 3F => 21
0002: Op: 2C => 2C, Flags: 00 => 00
0003: Op: 0B => 0B, Flags: 3F => 21
0004: Op: 2C => 2C, Flags: 00 => 00
0005: Op: 0B => 0B, Flags: 3F => 21
0006: Op: 2C => 2C, Flags: 00 => 00
0007: Op: 0B => 0B, Flags: 3F => 21
0008: Op: 2C => 2C, Flags: 00 => 00
0009: Op: 0B => 0B, Flags: 3F => 21
000A: Op: 2C => 2C, Flags: 00 => 00
000B: Op: 0B => 0B, Flags: 3F => 21
000C: Op: 2C => 2C, Flags: 00 => 00
000D: Op: 0B => 0B, Flags: 3F => 21
000E: Op: 2C => 2C, Flags: 00 => 00
000F: Op: 0B => 0B, Flags: 3F => 21
0010: Op: 2C => 2C, Flags: 00 => 00
0011: Op: 0B => 0B, Flags: 3F => 21
0012: Op: 2C => 2C, Flags: 00 => 00
0013: Op: 0B => 0B, Flags: 3F => 21
0014: Op: 2C => 2C, Flags: 00 => 00
0015: Op: 0B => 0B, Flags: 3F => 21
0016: Op: 2C => 2C, Flags: 00 => 00
0017: Op: 0B => 0B, Flags: 3F => 21
0018: Op: 2C => 2C, Flags: 00 => 00
0019: Op: 0B => 0B, Flags: 3F => 00
001A: Op: 2C => 2C, Flags: 00 => 00
001B: Op: 0B => 0B, Flags: 3F => 00
001C: Op: 2C => 2C, Flags: 00 => 00
001D: Op: 0B => 0B, Flags: 3F => 21
001E: Op: 2C => 2C, Flags: 00 => 00
001F: Op: 0B => 0B, Flags: 3F => 21
0020: Op: 2C => 2C, Flags: 00 => 00
0021: Op: 0B => 0B, Flags: 3F => 21
0022: Op: 2C => 2C, Flags: 00 => 00
0023: Op: 0B => 0B, Flags: 3F => 21
0024: Op: 2C => 2C, Flags: 00 => 00
0025: Op: 0B => 0B, Flags: 3F => 21
0026: Op: 2C => 2C, Flags: 00 => 00
0027: Op: 0B => 0B, Flags: 3F => 21
0028: Op: 2C => 2C, Flags: 00 => 00
0029: Op: 0B => 0B, Flags: 3F => 21
002A: Op: 2C => 2C, Flags: 00 => 00
002B: Op: 0B => 0B, Flags: 3F => 21
002C: Op: 2C => 2C, Flags: 00 => 00
002D: Op: 0B => 0B, Flags: 3F => 21
002E: Op: 2C => 2C, Flags: 00 => 00
002F: Op: 0B => 0B, Flags: 3F => 21
0030: Op: 2C => 2C, Flags: 00 => 00
0031: Op: 0B => 0B, Flags: 3F => 21
0032: Op: 2C => 2C, Flags: 00 => 00
0033: Op: 0B => 0B, Flags: 3F => 21
0034: Op: 2C => 2C, Flags: 00 => 00
0035: Op: 0B => 0B, Flags: 3F => 21
0036: Op: 2C => 2C, Flags: 00 => 00
0037: Op: 0B => 0B, Flags: 3F => 00
0038: Op: 14 => 58, Flags: 3F => 00
0039: Op: 0E => 54, Flags: 1E => 00
003A: Op: 01 => 01, Flags: 00 => 00
003B: Op: 12 => 12, Flags: 3F => 3F
003C: Op: 7F => 7F, Flags: 00 => 00
003D: Op: 00 => 00, Flags: 00 => 00
003E: Op: 00 => 00, Flags: 00 => 00
003F: Op: 00 => 00, Flags: 00 => 00
0040: Op: 00 => 00, Flags: 00 => 00
0041: Op: 00 => 00, Flags: 00 => 00
0042: Op: 00 => 00, Flags: 00 => 00
0043: Op: 00 => 00, Flags: 00 => 00
0044: Op: 00 => 00, Flags: 00 => 00
0045: Op: 00 => 00, Flags: 00 => 00
0046: Op: 00 => 00, Flags: 00 => 00
0047: Op: 00 => 00, Flags: 00 => 00
0048: Op: 7F => 7F, Flags: 00 => 00
0049: Op: 7F => 7F, Flags: 00 => 00
004A: Op: 47 => 47, Flags: 00 => 00
004B: Op: 47 => 47, Flags: 00 => 00
004C: Op: 22 => 22, Flags: 00 => 00
004D: Op: 0D => 53, Flags: 3F => 00
004E: Op: 09 => 51, Flags: 3F => 00
004F: Op: 45 => 45, Flags: 00 => 00
0050: Op: 7F => 7F, Flags: 00 => 00
0051: Op: 7F => 7F, Flags: 00 => 00
0052: Op: 06 => 06, Flags: 03 => 01
0053: Op: 21 => 21, Flags: 00 => 00
0054: Op: 08 => 50, Flags: 3D => 00
0055: Op: 02 => 02, Flags: 03 => 01
0056: Op: 13 => 13, Flags: 3D => 01
0057: Op: 7F => 7F, Flags: 00 => 00
0058: Op: 01 => 01, Flags: 00 => 00
0059: Op: 1D => 1D, Flags: 00 => 00
005A: Op: 7F => 7F, Flags: 00 => 00
